breed,age_years,weight_kg,color,gender,a1_adapts_well_to_apartment_living,a2_good_for_novice_owners,a4_tolerates_being_alone,b1_affectionate_with_family,b2_incredibly_kid_friendly_dogs,b3_dog_friendly,c1_amount_of_shedding,c2_drooling_potential,d1_easy_to_train,d5_tendency_to_bark_or_howl,e1_energy_level,e3_exercise_needs,size,age_category,color_category,cluster,cluster_name,is_anomaly,anomaly_score
pomeranian,7,44,Brown,Female,4,4,1,5,2,2,4,1,4,5,3,2,large,adult,dark,1,independent_character,1,0.050059729299895106
australian shepherd,4,37,Brindle,Female,1,2,2,5,4,5,3,1,5,4,5,5,large,adult,mixed,0,family_active,1,0.11734127630666924
australian shepherd,11,37,White,Male,1,2,2,5,4,5,3,1,5,4,5,5,large,senior,light,0,family_active,1,0.11734127630666924
great dane,3,33,Red,Female,1,1,1,5,5,5,5,4,5,4,5,5,large,puppy,unique,0,family_active,1,0.07166068511527701
rottweiler,7,19,Merle,Female,2,1,1,5,4,2,4,4,4,4,4,4,medium,adult,unique,3,large_working,1,0.1270094429307097
bichon frise,6,36,Black and Tan,Male,5,5,1,5,4,4,2,1,5,2,5,3,large,adult,dark,2,small_companion,1,0.15944015389041594
maltese,5,39,Gray,Female,5,5,1,5,3,4,2,1,4,2,3,2,large,adult,light,2,small_companion,1,0.10626288972640852
maltese,11,42,Sable,Male,5,5,1,5,3,4,2,1,4,2,3,2,large,senior,unique,2,small_companion,1,0.10626288972640852
siberian husky,4,40,Sable,Female,2,1,1,5,5,5,3,3,2,5,5,5,large,adult,unique,0,family_active,1,0.05060466007524855
shih tzu,12,8,Black,Female,5,5,3,5,4,4,3,1,3,2,2,2,small,senior,dark,2,small_companion,1,0.11723197668689922
miniature schnauzer,4,18,Tan,Male,4,3,5,5,3,3,2,1,5,3,5,5,medium,adult,light,5,smart_active,1,0.049418521329423815
chihuahua,10,23,Brindle,Female,5,4,1,5,5,2,2,1,4,3,3,1,medium,senior,mixed,2,small_companion,1,0.04033536595833154
chihuahua,13,22,Sable,Female,5,4,1,5,5,2,2,1,4,3,3,1,medium,senior,unique,2,small_companion,1,0.04033536595833154
boston terrier,8,39,Cream,Male,5,4,3,4,5,5,2,1,4,3,4,4,large,adult,light,5,smart_active,1,0.1022841672540743
rottweiler,5,39,Spotted,Female,2,1,1,5,4,2,4,4,4,4,4,4,large,adult,mixed,3,large_working,1,0.1270094429307097
airedale terrier,5,24,Brindle,Male,1,2,2,4,4,4,2,1,4,4,5,5,medium,adult,mixed,0,family_active,1,0.11990421320075151
alaskan malamute,6,55,Brindle,Male,1,1,1,4,3,2,5,1,4,5,5,5,large,adult,mixed,3,large_working,1,0.05178362947380133
dogo argentino,10,9,White,Female,1,1,2,4,2,2,1,3,2,2,4,4,small,senior,light,3,large_working,1,0.0
bichon frise,5,16,Black,Male,5,5,1,5,4,4,2,1,5,2,5,3,medium,adult,dark,2,small_companion,1,0.15944015389041594
airedale terrier,2,26,Red,Male,1,2,2,4,4,4,2,1,4,4,5,5,medium,puppy,unique,0,family_active,1,0.11990421320075151
australian shepherd,2,8,Tan,Female,1,2,2,5,4,5,3,1,5,4,5,5,small,puppy,light,0,family_active,1,0.11734127630666924
havanese,11,54,Tan,Female,5,5,1,5,4,5,2,1,5,2,3,3,large,senior,light,2,small_companion,1,0.12281828254349136
pembroke welsh corgi,8,39,White,Male,4,4,3,5,4,3,5,1,5,2,4,4,large,adult,light,5,smart_active,1,0.11917582392484138
shih tzu,10,24,Gray,Male,5,5,3,5,4,4,3,1,3,2,2,2,medium,senior,light,2,small_companion,1,0.11723197668689922
pekingese,1,31,Black and Tan,Male,5,4,3,5,2,2,4,1,3,4,2,2,large,puppy,dark,1,independent_character,1,0.08882974922564046
standard schnauzer,1,13,Blue,Female,4,2,2,4,4,3,1,1,3,2,5,5,small,puppy,unique,5,smart_active,1,0.06975670786733079
irish setter,14,46,Brindle,Male,1,3,2,5,5,5,4,2,4,4,5,5,large,senior,mixed,0,family_active,1,0.13291247026930442
miniature schnauzer,6,19,Sable,Male,4,3,5,5,3,3,2,1,5,3,5,5,medium,adult,unique,5,smart_active,1,0.049418521329423815
bulldog,13,40,Blue,Female,5,4,3,5,4,2,3,5,3,4,2,3,large,senior,unique,1,independent_character,1,0.08167644158922482
great dane,8,17,Cream,Female,1,1,1,5,5,5,5,4,5,4,5,5,medium,adult,light,0,family_active,1,0.07166068511527701
german shepherd dog,1,22,Tricolor,Female,3,2,2,5,5,2,5,1,5,4,5,5,medium,puppy,mixed,3,large_working,1,0.08877452506852401
rottweiler,6,47,Red,Female,2,1,1,5,4,2,4,4,4,4,4,4,large,adult,unique,3,large_working,1,0.1270094429307097
rottweiler,14,28,Tricolor,Male,2,1,1,5,4,2,4,4,4,4,4,4,medium,senior,mixed,3,large_working,1,0.1270094429307097
havanese,3,22,Black and Tan,Female,5,5,1,5,4,5,2,1,5,2,3,3,medium,puppy,dark,2,small_companion,1,0.12281828254349136
pug,1,37,Brindle,Male,5,5,1,5,4,4,5,1,3,2,3,3,large,puppy,mixed,2,small_companion,1,0.1093041223286344
belgian malinois,10,54,Black and White,Male,1,3,3,5,4,2,2,1,5,2,5,5,large,senior,mixed,5,smart_active,1,0.056851380059695145
border collie,8,16,Black,Female,2,2,1,5,4,3,3,1,5,2,5,5,medium,adult,dark,5,smart_active,1,0.12980876058686436
lhasa apso,14,45,Gray,Female,5,5,4,4,4,3,3,1,3,4,4,3,large,senior,light,1,independent_character,1,0.1145986381147937
golden retriever,6,7,Black and Tan,Male,2,3,1,5,5,5,5,4,5,3,5,5,small,adult,dark,0,family_active,1,0.08528781558879694
jack russell terrier,1,53,Tan,Female,3,2,3,5,4,5,3,1,4,4,5,5,large,puppy,light,0,family_active,1,0.09907175259749268
doberman pinscher,4,27,Tricolor,Male,3,3,2,5,3,1,4,4,5,1,3,3,medium,adult,mixed,3,large_working,1,0.04141680801384029
boston terrier,6,9,Blue,Female,5,4,3,4,5,5,2,1,4,3,4,4,small,adult,unique,5,smart_active,1,0.1022841672540743
bloodhound,11,46,Sable,Male,1,2,2,5,5,5,4,5,3,4,5,5,large,senior,unique,0,family_active,1,0.08520155191862566
labrador retriever,13,47,Brindle,Male,1,3,2,5,5,5,5,3,5,4,5,5,large,senior,mixed,0,family_active,1,0.11542894055049463
beagle,4,20,Cream,Male,4,3,1,5,5,5,3,1,1,5,4,4,medium,adult,light,0,family_active,1,0.04668598771775645
airedale terrier,3,22,Brindle,Female,1,2,2,4,4,4,2,1,4,4,5,5,medium,puppy,mixed,0,family_active,1,0.11990421320075151
pomeranian,11,44,Brindle,Male,4,4,1,5,2,2,4,1,4,5,3,2,large,senior,mixed,1,independent_character,1,0.050059729299895106
australian shepherd,3,18,Sable,Male,1,2,2,5,4,5,3,1,5,4,5,5,medium,puppy,unique,0,family_active,1,0.11734127630666924
dachshund,1,36,Spotted,Female,5,4,3,4,5,3,3,1,2,5,3,3,large,puppy,mixed,1,independent_character,1,0.09346636634119565
akita,9,40,Bicolor,Female,2,2,1,5,1,1,5,5,2,5,4,4,large,senior,mixed,3,large_working,-1,-0.00886127305314277
basenji,12,54,Black and White,Male,5,4,4,5,5,4,1,5,1,1,5,5,large,senior,mixed,4,outlier_unique,-1,-0.015910031319223084
bloodhound,4,8,Black,Male,1,2,2,5,5,5,4,5,3,4,5,5,small,adult,dark,0,family_active,1,0.08520155191862566
shetland sheepdog,10,50,Tricolor,Female,2,3,2,5,5,4,5,1,5,1,4,4,large,senior,mixed,5,smart_active,1,0.09560358723404627
akita,10,30,Black,Male,2,2,1,5,1,1,5,5,2,5,4,4,medium,senior,dark,3,large_working,-1,-0.00886127305314277
dogo argentino,10,56,Red,Female,1,1,2,4,2,2,1,3,2,2,4,4,large,senior,unique,3,large_working,1,0.0
shiba inu,7,33,Sable,Male,5,4,5,4,3,3,4,1,2,4,4,3,large,adult,unique,1,independent_character,1,0.03866640228556284
west highland white terrier,11,23,Red,Male,4,4,2,5,4,5,4,1,4,4,4,4,medium,senior,unique,2,small_companion,1,0.11785238860222136
airedale terrier,5,49,Blue,Female,1,2,2,4,4,4,2,1,4,4,5,5,large,adult,unique,0,family_active,1,0.11990421320075151
saint bernard,10,36,Brown,Female,3,2,1,5,5,5,4,5,2,1,3,2,large,senior,dark,3,large_working,1,0.010965258266183886
belgian malinois,4,28,Black and Tan,Female,1,3,3,5,4,2,2,1,5,2,5,5,medium,adult,dark,5,smart_active,1,0.056851380059695145
bull terrier,5,51,Spotted,Male,4,4,2,5,5,4,3,1,5,1,4,5,large,adult,mixed,5,smart_active,1,0.10975066302350012
bichon frise,2,15,White,Female,5,5,1,5,4,4,2,1,5,2,5,3,small,puppy,light,2,small_companion,1,0.15944015389041594
lhasa apso,1,18,Red,Female,5,5,4,4,4,3,3,1,3,4,4,3,medium,puppy,unique,1,independent_character,1,0.1145986381147937
dachshund,14,18,Black and White,Female,5,4,3,4,5,3,3,1,2,5,3,3,medium,senior,mixed,1,independent_character,1,0.09346636634119565
bulldog,10,18,Cream,Male,5,4,3,5,4,2,3,5,3,4,2,3,medium,senior,light,1,independent_character,1,0.08167644158922482
doberman pinscher,2,24,Black,Female,3,3,2,5,3,1,4,4,5,1,3,3,medium,puppy,dark,3,large_working,1,0.04141680801384029
french bulldog,11,6,Black and White,Male,5,5,1,5,4,4,3,1,4,3,3,2,small,senior,mixed,2,small_companion,1,0.14241912525877787
vizsla,11,8,Black and Tan,Male,1,3,1,5,5,5,2,1,5,5,5,5,small,senior,dark,0,family_active,1,0.0988842615370068
cavalier king charles spaniel,2,17,Black,Female,5,5,1,5,5,5,3,1,4,3,3,4,medium,puppy,dark,2,small_companion,1,0.11561804964437455
havanese,8,13,Cream,Male,5,5,1,5,4,5,2,1,5,2,3,3,small,adult,light,2,small_companion,1,0.12281828254349136
pekingese,3,56,Brindle,Female,5,4,3,5,2,2,4,1,3,4,2,2,large,puppy,mixed,1,independent_character,1,0.08882974922564046
bloodhound,8,15,Bicolor,Male,1,2,2,5,5,5,4,5,3,4,5,5,small,adult,mixed,0,family_active,1,0.08520155191862566
cavalier king charles spaniel,1,11,Brindle,Female,5,5,1,5,5,5,3,1,4,3,3,4,small,puppy,mixed,2,small_companion,1,0.11561804964437455
pembroke welsh corgi,13,57,Sable,Female,4,4,3,5,4,3,5,1,5,2,4,4,large,senior,unique,5,smart_active,1,0.11917582392484138
golden retriever,13,36,Bicolor,Male,2,3,1,5,5,5,5,4,5,3,5,5,large,senior,mixed,0,family_active,1,0.08528781558879694
pekingese,11,48,Spotted,Female,5,4,3,5,2,2,4,1,3,4,2,2,large,senior,mixed,1,independent_character,1,0.08882974922564046
rottweiler,2,36,Red,Male,2,1,1,5,4,2,4,4,4,4,4,4,large,puppy,unique,3,large_working,1,0.1270094429307097
chinese shar-pei,9,26,Tricolor,Female,4,2,4,2,2,1,5,2,3,5,2,3,medium,senior,mixed,1,independent_character,1,0.03603625785343145
papillon,1,18,Black,Female,5,5,1,5,3,4,2,1,5,2,4,5,medium,puppy,dark,2,small_companion,1,0.08890602129631608
boxer,12,12,Tricolor,Female,4,3,1,5,4,3,4,2,4,3,5,5,small,senior,mixed,3,large_working,1,0.13011879791857717
havanese,11,50,Black,Male,5,5,1,5,4,5,2,1,5,2,3,3,large,senior,dark,2,small_companion,1,0.12281828254349136
labrador retriever,12,33,Bicolor,Female,1,3,2,5,5,5,5,3,5,4,5,5,large,senior,mixed,0,family_active,1,0.11542894055049463
lhasa apso,11,23,Brindle,Male,5,5,4,4,4,3,3,1,3,4,4,3,medium,senior,mixed,1,independent_character,1,0.1145986381147937
doberman pinscher,4,34,Bicolor,Female,3,3,2,5,3,1,4,4,5,1,3,3,large,adult,mixed,3,large_working,1,0.04141680801384029
basenji,6,31,Brindle,Male,5,4,4,5,5,4,1,5,1,1,5,5,large,adult,mixed,4,outlier_unique,-1,-0.015910031319223084
chinese shar-pei,2,55,White,Female,4,2,4,2,2,1,5,2,3,5,2,3,large,puppy,light,1,independent_character,1,0.03603625785343145
shetland sheepdog,11,20,Brindle,Male,2,3,2,5,5,4,5,1,5,1,4,4,medium,senior,mixed,5,smart_active,1,0.09560358723404627
cavalier king charles spaniel,13,51,White,Male,5,5,1,5,5,5,3,1,4,3,3,4,large,senior,light,2,small_companion,1,0.11561804964437455
border collie,3,6,Black and Tan,Female,2,2,1,5,4,3,3,1,5,2,5,5,small,puppy,dark,5,smart_active,1,0.12980876058686436
australian shepherd,13,50,Brindle,Male,1,2,2,5,4,5,3,1,5,4,5,5,large,senior,mixed,0,family_active,1,0.11734127630666924
lhasa apso,12,56,Merle,Female,5,5,4,4,4,3,3,1,3,4,4,3,large,senior,unique,1,independent_character,1,0.1145986381147937
doberman pinscher,12,30,Red,Male,3,3,2,5,3,1,4,4,5,1,3,3,medium,senior,unique,3,large_working,1,0.04141680801384029
dachshund,2,23,Gray,Female,5,4,3,4,5,3,3,1,2,5,3,3,medium,puppy,light,1,independent_character,1,0.09346636634119565
doberman pinscher,5,58,Sable,Male,3,3,2,5,3,1,4,4,5,1,3,3,large,adult,unique,3,large_working,1,0.04141680801384029
french bulldog,8,44,Tricolor,Female,5,5,1,5,4,4,3,1,4,3,3,2,large,adult,mixed,2,small_companion,1,0.14241912525877787
bull terrier,10,53,Red,Female,4,4,2,5,5,4,3,1,5,1,4,5,large,senior,unique,5,smart_active,1,0.10975066302350012
boxer,9,50,Bicolor,Female,4,3,1,5,4,3,4,2,4,3,5,5,large,senior,mixed,3,large_working,1,0.13011879791857717
pekingese,5,27,Tricolor,Male,5,4,3,5,2,2,4,1,3,4,2,2,medium,adult,mixed,1,independent_character,1,0.08882974922564046
french bulldog,11,32,Brown,Male,5,5,1,5,4,4,3,1,4,3,3,2,large,senior,dark,2,small_companion,1,0.14241912525877787
rottweiler,5,16,Black,Female,2,1,1,5,4,2,4,4,4,4,4,4,medium,adult,dark,3,large_working,1,0.1270094429307097
pug,12,49,Tan,Female,5,5,1,5,4,4,5,1,3,2,3,3,large,senior,light,2,small_companion,1,0.1093041223286344
akita,7,43,Blue,Female,2,2,1,5,1,1,5,5,2,5,4,4,large,adult,unique,3,large_working,-1,-0.00886127305314277
bulldog,6,54,Sable,Male,5,4,3,5,4,2,3,5,3,4,2,3,large,adult,unique,1,independent_character,1,0.08167644158922482
border collie,14,5,Sable,Male,2,2,1,5,4,3,3,1,5,2,5,5,small,senior,unique,5,smart_active,1,0.12980876058686436
weimaraner,2,14,Brown,Male,1,2,1,5,4,3,4,4,4,2,5,5,small,puppy,dark,3,large_working,1,0.10893677592658224
beagle,1,27,Tricolor,Female,4,3,1,5,5,5,3,1,1,5,4,4,medium,puppy,mixed,0,family_active,1,0.04668598771775645
shiba inu,2,10,Black and Tan,Male,5,4,5,4,3,3,4,1,2,4,4,3,small,puppy,dark,1,independent_character,1,0.03866640228556284
doberman pinscher,1,28,Spotted,Male,3,3,2,5,3,1,4,4,5,1,3,3,medium,puppy,mixed,3,large_working,1,0.04141680801384029
dogo argentino,14,11,Brown,Female,1,1,2,4,2,2,1,3,2,2,4,4,small,senior,dark,3,large_working,1,0.0
vizsla,4,27,Black,Male,1,3,1,5,5,5,2,1,5,5,5,5,medium,adult,dark,0,family_active,1,0.0988842615370068
bichon frise,6,28,Spotted,Male,5,5,1,5,4,4,2,1,5,2,5,3,medium,adult,mixed,2,small_companion,1,0.15944015389041594
chinese shar-pei,6,6,Tan,Female,4,2,4,2,2,1,5,2,3,5,2,3,small,adult,light,1,independent_character,1,0.03603625785343145
chihuahua,7,31,Black,Female,5,4,1,5,5,2,2,1,4,3,3,1,large,adult,dark,2,small_companion,1,0.04033536595833154
pomeranian,10,36,Red,Male,4,4,1,5,2,2,4,1,4,5,3,2,large,senior,unique,1,independent_character,1,0.050059729299895106
standard schnauzer,3,24,Tan,Female,4,2,2,4,4,3,1,1,3,2,5,5,medium,puppy,light,5,smart_active,1,0.06975670786733079
yorkshire terrier,11,30,Red,Female,5,4,2,4,2,3,2,1,3,3,5,4,medium,senior,unique,1,independent_character,1,0.08596830702228297
pekingese,10,45,White,Male,5,4,3,5,2,2,4,1,3,4,2,2,large,senior,light,1,independent_character,1,0.08882974922564046
great dane,6,12,Brindle,Male,1,1,1,5,5,5,5,4,5,4,5,5,small,adult,mixed,0,family_active,1,0.07166068511527701
standard schnauzer,8,16,Brindle,Male,4,2,2,4,4,3,1,1,3,2,5,5,medium,adult,mixed,5,smart_active,1,0.06975670786733079
akita,6,22,Red,Female,2,2,1,5,1,1,5,5,2,5,4,4,medium,adult,unique,3,large_working,-1,-0.00886127305314277
doberman pinscher,10,59,Black,Female,3,3,2,5,3,1,4,4,5,1,3,3,large,senior,dark,3,large_working,1,0.04141680801384029
great dane,9,45,Tan,Female,1,1,1,5,5,5,5,4,5,4,5,5,large,senior,light,0,family_active,1,0.07166068511527701
jack russell terrier,2,5,Tan,Female,3,2,3,5,4,5,3,1,4,4,5,5,small,puppy,light,0,family_active,1,0.09907175259749268
pug,14,16,Cream,Male,5,5,1,5,4,4,5,1,3,2,3,3,medium,senior,light,2,small_companion,1,0.1093041223286344
yorkshire terrier,6,41,Black,Female,5,4,2,4,2,3,2,1,3,3,5,4,large,adult,dark,1,independent_character,1,0.08596830702228297
airedale terrier,9,40,White,Female,1,2,2,4,4,4,2,1,4,4,5,5,large,senior,light,0,family_active,1,0.11990421320075151
rottweiler,10,18,Red,Female,2,1,1,5,4,2,4,4,4,4,4,4,medium,senior,unique,3,large_working,1,0.1270094429307097
siberian husky,14,13,Cream,Female,2,1,1,5,5,5,3,3,2,5,5,5,small,senior,light,0,family_active,1,0.05060466007524855
shiba inu,2,43,Blue,Male,5,4,5,4,3,3,4,1,2,4,4,3,large,puppy,unique,1,independent_character,1,0.03866640228556284
boston terrier,5,15,Spotted,Female,5,4,3,4,5,5,2,1,4,3,4,4,small,adult,mixed,5,smart_active,1,0.1022841672540743
alaskan malamute,1,30,Red,Male,1,1,1,4,3,2,5,1,4,5,5,5,medium,puppy,unique,3,large_working,1,0.05178362947380133
pembroke welsh corgi,12,46,Spotted,Female,4,4,3,5,4,3,5,1,5,2,4,4,large,senior,mixed,5,smart_active,1,0.11917582392484138
pekingese,3,14,Brown,Female,5,4,3,5,2,2,4,1,3,4,2,2,small,puppy,dark,1,independent_character,1,0.08882974922564046
basenji,1,59,Bicolor,Male,5,4,4,5,5,4,1,5,1,1,5,5,large,puppy,mixed,4,outlier_unique,-1,-0.015910031319223084
labrador retriever,10,25,Cream,Female,1,3,2,5,5,5,5,3,5,4,5,5,medium,senior,light,0,family_active,1,0.11542894055049463
boston terrier,14,9,White,Female,5,4,3,4,5,5,2,1,4,3,4,4,small,senior,light,5,smart_active,1,0.1022841672540743
samoyed,8,44,Blue,Female,2,2,2,5,5,5,5,2,3,3,5,5,large,adult,unique,0,family_active,1,0.10307336763685271
great dane,11,21,Gray,Male,1,1,1,5,5,5,5,4,5,4,5,5,medium,senior,light,0,family_active,1,0.07166068511527701
shih tzu,10,23,Merle,Female,5,5,3,5,4,4,3,1,3,2,2,2,medium,senior,unique,2,small_companion,1,0.11723197668689922
vizsla,4,51,Brindle,Female,1,3,1,5,5,5,2,1,5,5,5,5,large,adult,mixed,0,family_active,1,0.0988842615370068
jack russell terrier,9,19,Sable,Male,3,2,3,5,4,5,3,1,4,4,5,5,medium,senior,unique,0,family_active,1,0.09907175259749268
bull terrier,8,28,Blue,Female,4,4,2,5,5,4,3,1,5,1,4,5,medium,adult,unique,5,smart_active,1,0.10975066302350012
whippet,14,51,Brown,Female,5,3,2,5,5,4,2,1,4,1,5,5,large,senior,dark,5,smart_active,1,0.10558414949628958
bulldog,8,57,Merle,Female,5,4,3,5,4,2,3,5,3,4,2,3,large,adult,unique,1,independent_character,1,0.08167644158922482
irish setter,14,40,Sable,Female,1,3,2,5,5,5,4,2,4,4,5,5,large,senior,unique,0,family_active,1,0.13291247026930442
siberian husky,9,53,Black and White,Male,2,1,1,5,5,5,3,3,2,5,5,5,large,senior,mixed,0,family_active,1,0.05060466007524855
vizsla,2,35,White,Male,1,3,1,5,5,5,2,1,5,5,5,5,large,puppy,light,0,family_active,1,0.0988842615370068
lhasa apso,10,8,Tan,Female,5,5,4,4,4,3,3,1,3,4,4,3,small,senior,light,1,independent_character,1,0.1145986381147937
bulldog,9,15,White,Male,5,4,3,5,4,2,3,5,3,4,2,3,small,senior,light,1,independent_character,1,0.08167644158922482
belgian malinois,10,37,Spotted,Female,1,3,3,5,4,2,2,1,5,2,5,5,large,senior,mixed,5,smart_active,1,0.056851380059695145
weimaraner,1,26,Black and White,Male,1,2,1,5,4,3,4,4,4,2,5,5,medium,puppy,mixed,3,large_working,1,0.10893677592658224
pug,13,46,Black and Tan,Female,5,5,1,5,4,4,5,1,3,2,3,3,large,senior,dark,2,small_companion,1,0.1093041223286344
miniature schnauzer,12,51,Bicolor,Male,4,3,5,5,3,3,2,1,5,3,5,5,large,senior,mixed,5,smart_active,1,0.049418521329423815
vizsla,8,38,Black and Tan,Female,1,3,1,5,5,5,2,1,5,5,5,5,large,adult,dark,0,family_active,1,0.0988842615370068
cavalier king charles spaniel,8,23,Tan,Male,5,5,1,5,5,5,3,1,4,3,3,4,medium,adult,light,2,small_companion,1,0.11561804964437455
dogo argentino,7,38,Blue,Male,1,1,2,4,2,2,1,3,2,2,4,4,large,adult,unique,3,large_working,1,0.0
irish setter,6,56,Blue,Female,1,3,2,5,5,5,4,2,4,4,5,5,large,adult,unique,0,family_active,1,0.13291247026930442
saint bernard,9,17,Red,Female,3,2,1,5,5,5,4,5,2,1,3,2,medium,senior,unique,3,large_working,1,0.010965258266183886
lhasa apso,6,57,Merle,Female,5,5,4,4,4,3,3,1,3,4,4,3,large,adult,unique,1,independent_character,1,0.1145986381147937
labrador retriever,12,7,Gray,Female,1,3,2,5,5,5,5,3,5,4,5,5,small,senior,light,0,family_active,1,0.11542894055049463
rottweiler,12,30,Red,Male,2,1,1,5,4,2,4,4,4,4,4,4,medium,senior,unique,3,large_working,1,0.1270094429307097
boxer,5,47,Sable,Female,4,3,1,5,4,3,4,2,4,3,5,5,large,adult,unique,3,large_working,1,0.13011879791857717
whippet,1,35,Bicolor,Male,5,3,2,5,5,4,2,1,4,1,5,5,large,puppy,mixed,5,smart_active,1,0.10558414949628958
chesapeake bay retriever,10,56,White,Female,1,1,2,5,3,1,5,3,3,3,5,5,large,senior,light,3,large_working,1,0.041604479924655324
lhasa apso,2,33,Tan,Male,5,5,4,4,4,3,3,1,3,4,4,3,large,puppy,light,1,independent_character,1,0.1145986381147937
rottweiler,9,46,Black,Female,2,1,1,5,4,2,4,4,4,4,4,4,large,senior,dark,3,large_working,1,0.1270094429307097
siberian husky,1,22,Black,Female,2,1,1,5,5,5,3,3,2,5,5,5,medium,puppy,dark,0,family_active,1,0.05060466007524855
beagle,4,19,Black and Tan,Male,4,3,1,5,5,5,3,1,1,5,4,4,medium,adult,dark,0,family_active,1,0.04668598771775645
chinese shar-pei,8,18,Sable,Male,4,2,4,2,2,1,5,2,3,5,2,3,medium,adult,unique,1,independent_character,1,0.03603625785343145
weimaraner,4,38,Tan,Male,1,2,1,5,4,3,4,4,4,2,5,5,large,adult,light,3,large_working,1,0.10893677592658224
saint bernard,8,27,Sable,Female,3,2,1,5,5,5,4,5,2,1,3,2,medium,adult,unique,3,large_working,1,0.010965258266183886
bloodhound,6,57,Blue,Male,1,2,2,5,5,5,4,5,3,4,5,5,large,adult,unique,0,family_active,1,0.08520155191862566
weimaraner,11,29,Sable,Male,1,2,1,5,4,3,4,4,4,2,5,5,medium,senior,unique,3,large_working,1,0.10893677592658224
cavalier king charles spaniel,4,35,Black and Tan,Female,5,5,1,5,5,5,3,1,4,3,3,4,large,adult,dark,2,small_companion,1,0.11561804964437455
whippet,9,15,Tan,Female,5,3,2,5,5,4,2,1,4,1,5,5,small,senior,light,5,smart_active,1,0.10558414949628958
cocker spaniel,11,8,Bicolor,Male,5,3,1,5,3,4,3,1,5,3,4,3,small,senior,mixed,2,small_companion,1,0.09819957107015731
bloodhound,4,36,White,Male,1,2,2,5,5,5,4,5,3,4,5,5,large,adult,light,0,family_active,1,0.08520155191862566
airedale terrier,2,54,Gray,Male,1,2,2,4,4,4,2,1,4,4,5,5,large,puppy,light,0,family_active,1,0.11990421320075151
saint bernard,4,37,Merle,Female,3,2,1,5,5,5,4,5,2,1,3,2,large,adult,unique,3,large_working,1,0.010965258266183886
chihuahua,12,18,Cream,Male,5,4,1,5,5,2,2,1,4,3,3,1,medium,senior,light,2,small_companion,1,0.04033536595833154
pekingese,4,54,Cream,Female,5,4,3,5,2,2,4,1,3,4,2,2,large,adult,light,1,independent_character,1,0.08882974922564046
chinese shar-pei,12,44,Cream,Male,4,2,4,2,2,1,5,2,3,5,2,3,large,senior,light,1,independent_character,1,0.03603625785343145
doberman pinscher,13,5,White,Female,3,3,2,5,3,1,4,4,5,1,3,3,small,senior,light,3,large_working,1,0.04141680801384029
french bulldog,1,51,Tricolor,Female,5,5,1,5,4,4,3,1,4,3,3,2,large,puppy,mixed,2,small_companion,1,0.14241912525877787
pekingese,8,29,White,Male,5,4,3,5,2,2,4,1,3,4,2,2,medium,adult,light,1,independent_character,1,0.08882974922564046
bichon frise,3,25,Blue,Male,5,5,1,5,4,4,2,1,5,2,5,3,medium,puppy,unique,2,small_companion,1,0.15944015389041594
french bulldog,1,48,Red,Male,5,5,1,5,4,4,3,1,4,3,3,2,large,puppy,unique,2,small_companion,1,0.14241912525877787
chesapeake bay retriever,7,46,Black and White,Male,1,1,2,5,3,1,5,3,3,3,5,5,large,adult,mixed,3,large_working,1,0.041604479924655324
dogo argentino,7,31,Black,Female,1,1,2,4,2,2,1,3,2,2,4,4,large,adult,dark,3,large_working,1,0.0
chinese shar-pei,8,32,Cream,Female,4,2,4,2,2,1,5,2,3,5,2,3,large,adult,light,1,independent_character,1,0.03603625785343145
bichon frise,8,28,Cream,Male,5,5,1,5,4,4,2,1,5,2,5,3,medium,adult,light,2,small_companion,1,0.15944015389041594
weimaraner,12,31,Sable,Female,1,2,1,5,4,3,4,4,4,2,5,5,large,senior,unique,3,large_working,1,0.10893677592658224
shetland sheepdog,2,14,Black and White,Female,2,3,2,5,5,4,5,1,5,1,4,4,small,puppy,mixed,5,smart_active,1,0.09560358723404627
bull terrier,3,38,Bicolor,Female,4,4,2,5,5,4,3,1,5,1,4,5,large,puppy,mixed,5,smart_active,1,0.10975066302350012
west highland white terrier,14,31,Bicolor,Female,4,4,2,5,4,5,4,1,4,4,4,4,large,senior,mixed,2,small_companion,1,0.11785238860222136
dachshund,9,46,Tan,Male,5,4,3,4,5,3,3,1,2,5,3,3,large,senior,light,1,independent_character,1,0.09346636634119565
pekingese,6,52,Bicolor,Male,5,4,3,5,2,2,4,1,3,4,2,2,large,adult,mixed,1,independent_character,1,0.08882974922564046
rottweiler,2,36,Tan,Male,2,1,1,5,4,2,4,4,4,4,4,4,large,puppy,light,3,large_working,1,0.1270094429307097
pekingese,8,45,Spotted,Male,5,4,3,5,2,2,4,1,3,4,2,2,large,adult,mixed,1,independent_character,1,0.08882974922564046
maltese,4,36,Bicolor,Female,5,5,1,5,3,4,2,1,4,2,3,2,large,adult,mixed,2,small_companion,1,0.10626288972640852
whippet,2,13,Blue,Male,5,3,2,5,5,4,2,1,4,1,5,5,small,puppy,unique,5,smart_active,1,0.10558414949628958
pug,7,54,Brown,Female,5,5,1,5,4,4,5,1,3,2,3,3,large,adult,dark,2,small_companion,1,0.1093041223286344
labrador retriever,9,41,Sable,Male,1,3,2,5,5,5,5,3,5,4,5,5,large,senior,unique,0,family_active,1,0.11542894055049463
